[Fri Feb 10 10:26:51.482201 2017] [:error] [pid 3332:tid 800] [client 127.0.0.1:60281] PHP Parse error:  syntax error, unexpected ';' in C:\\Program Files (x86)\\EasyPHP-DevServer-14.1VC11\\data\\localweb\\geolicense.dev\\storage\\framework\\views\\009ef6afa30442a886ab06668e4b7299 on line 15, referer: http://geolicense.dev:8080/
[Mon Feb 13 14:37:35.632695 2017] [:error] [pid 6180:tid 816] [client 127.0.0.1:61225] PHP Fatal error:  Class 'Vinkas\\Firebase\\Auth\\ServiceProvider' not found in C:\\Program Files (x86)\\EasyPHP-DevServer-14.1VC11\\data\\localweb\\geolicense.dev\\vendor\\compiled.php on line 6466
[Mon Feb 13 14:37:59.257419 2017] [:error] [pid 6180:tid 824] [client 127.0.0.1:61234] PHP Fatal error:  Class 'Vinkas\\Firebase\\Auth\\ServiceProvider' not found in C:\\Program Files (x86)\\EasyPHP-DevServer-14.1VC11\\data\\localweb\\geolicense.dev\\vendor\\compiled.php on line 6466
[Mon Feb 13 15:00:42.568010 2017] [:error] [pid 6180:tid 824] [client 127.0.0.1:61533] PHP Parse error:  syntax error, unexpected '.', expecting ']' in C:\\Program Files (x86)\\EasyPHP-DevServer-14.1VC11\\data\\localweb\\geolicense.dev\\app\\Http\\Kernel.php on line 19, referer: http://geolicense.dev:8080/
[Mon Feb 13 15:01:23.123065 2017] [:error] [pid 6180:tid 824] [client 127.0.0.1:61539] PHP Fatal error:  Cannot redeclare class Jacovdb\\Firebase\\Middleware\\FirebaseJwtAuthenticationMiddleware in C:\\Program Files (x86)\\EasyPHP-DevServer-14.1VC11\\data\\localweb\\geolicense.dev\\app\\Http\\Middleware\\FirebaseJwtAuthenticationMiddleware.php on line 11, referer: http://geolicense.dev:8080/
[Mon Feb 13 15:01:30.999852 2017] [:error] [pid 6180:tid 824] [client 127.0.0.1:61540] PHP Fatal error:  Cannot redeclare class Jacovdb\\Firebase\\Middleware\\FirebaseJwtAuthenticationMiddleware in C:\\Program Files (x86)\\EasyPHP-DevServer-14.1VC11\\data\\localweb\\geolicense.dev\\app\\Http\\Middleware\\FirebaseJwtAuthenticationMiddleware.php on line 11, referer: http://geolicense.dev:8080/
[Mon Feb 13 15:01:32.052958 2017] [:error] [pid 6180:tid 824] [client 127.0.0.1:61541] PHP Fatal error:  Cannot redeclare class Jacovdb\\Firebase\\Middleware\\FirebaseJwtAuthenticationMiddleware in C:\\Program Files (x86)\\EasyPHP-DevServer-14.1VC11\\data\\localweb\\geolicense.dev\\app\\Http\\Middleware\\FirebaseJwtAuthenticationMiddleware.php on line 11, referer: http://geolicense.dev:8080/
[Wed May 03 15:55:16.595533 2017] [:error] [pid 1736:tid 832] [client 127.0.0.1:60828] PHP Deprecated:  Automatically populating $HTTP_RAW_POST_DATA is deprecated and will be removed in a future version. To avoid this warning set 'always_populate_raw_post_data' to '-1' in php.ini and use the php://input stream instead. in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
[Wed May 03 15:55:16.610536 2017] [:error] [pid 1736:tid 832] [client 127.0.0.1:60828] PHP Warning:  Cannot modify header information - headers already sent in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
[Wed May 03 15:55:37.925798 2017] [:error] [pid 1736:tid 832] [client 127.0.0.1:60833] PHP Deprecated:  Automatically populating $HTTP_RAW_POST_DATA is deprecated and will be removed in a future version. To avoid this warning set 'always_populate_raw_post_data' to '-1' in php.ini and use the php://input stream instead. in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
[Wed May 03 15:55:37.926798 2017] [:error] [pid 1736:tid 832] [client 127.0.0.1:60833] PHP Warning:  Cannot modify header information - headers already sent in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
[Wed May 03 15:56:34.119034 2017] [:error] [pid 1736:tid 832] [client 127.0.0.1:60937] PHP Deprecated:  Automatically populating $HTTP_RAW_POST_DATA is deprecated and will be removed in a future version. To avoid this warning set 'always_populate_raw_post_data' to '-1' in php.ini and use the php://input stream instead. in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
